"Function","Algorithm","Value"
"rosenbrock_2d","PRS",0.271351555240424
"rosenbrock_2d","PRS",0.211736912146628
"rosenbrock_2d","PRS",2.08617499852454
"rosenbrock_2d","PRS",0.0856587586075809
"rosenbrock_2d","PRS",1.04293730262355
"rosenbrock_2d","PRS",1.46578416740146
"rosenbrock_2d","PRS",0.156864841299659
"rosenbrock_2d","PRS",0.31785347431069
"rosenbrock_2d","PRS",1.88887863571104
"rosenbrock_2d","PRS",0.470036232217544
"rosenbrock_2d","PRS",0.62900569157594
"rosenbrock_2d","PRS",0.432119411155828
"rosenbrock_2d","PRS",1.2618040231573
"rosenbrock_2d","PRS",0.267678814131552
"rosenbrock_2d","PRS",0.161758866666188
"rosenbrock_2d","PRS",0.666258075836039
"rosenbrock_2d","PRS",0.249961082257627
"rosenbrock_2d","PRS",1.32524958506934
"rosenbrock_2d","PRS",0.604164787752933
"rosenbrock_2d","PRS",0.364983184728741
"rosenbrock_2d","PRS",1.26675376751957
"rosenbrock_2d","PRS",0.0267219578449141
"rosenbrock_2d","PRS",0.341107467670971
"rosenbrock_2d","PRS",0.401490444764387
"rosenbrock_2d","PRS",0.3989221324965
"rosenbrock_2d","PRS",0.0264504316609598
"rosenbrock_2d","PRS",0.370753195030927
"rosenbrock_2d","PRS",2.28909675205646
"rosenbrock_2d","PRS",2.19858596075341
"rosenbrock_2d","PRS",1.09750077473776
"rosenbrock_2d","PRS",0.0270234385646948
"rosenbrock_2d","PRS",0.580462173830394
"rosenbrock_2d","PRS",0.603736391926187
"rosenbrock_2d","PRS",1.93077347504194
"rosenbrock_2d","PRS",2.39245350972361
"rosenbrock_2d","PRS",0.0430109457195482
"rosenbrock_2d","PRS",0.129022381726797
"rosenbrock_2d","PRS",0.740933850148505
"rosenbrock_2d","PRS",0.668770716569302
"rosenbrock_2d","PRS",2.23135174070705
"rosenbrock_2d","PRS",0.515866747541254
"rosenbrock_2d","PRS",0.0677048239859979
"rosenbrock_2d","PRS",0.863990975343244
"rosenbrock_2d","PRS",0.532920140960699
"rosenbrock_2d","PRS",0.186938959386761
"rosenbrock_2d","PRS",2.11936083712536
"rosenbrock_2d","PRS",0.162509504678184
"rosenbrock_2d","PRS",0.449343780446193
"rosenbrock_2d","PRS",0.708953960341006
"rosenbrock_2d","PRS",0.0319160659453507
"rosenbrock_10d","PRS",67788.1867267647
"rosenbrock_10d","PRS",31011.7152248977
"rosenbrock_10d","PRS",27829.8459157452
"rosenbrock_10d","PRS",16890.0211329634
"rosenbrock_10d","PRS",21115.8210501009
"rosenbrock_10d","PRS",58211.7420441677
"rosenbrock_10d","PRS",45334.084328678
"rosenbrock_10d","PRS",29547.0373286867
"rosenbrock_10d","PRS",38852.0650316988
"rosenbrock_10d","PRS",34796.7272453454
"rosenbrock_10d","PRS",10121.0557754474
"rosenbrock_10d","PRS",23753.6226985627
"rosenbrock_10d","PRS",15896.9268277085
"rosenbrock_10d","PRS",40912.0090639741
"rosenbrock_10d","PRS",18417.8047685952
"rosenbrock_10d","PRS",7506.9681678711
"rosenbrock_10d","PRS",13219.9249298271
"rosenbrock_10d","PRS",24177.0430515483
"rosenbrock_10d","PRS",20470.6348514154
"rosenbrock_10d","PRS",39110.7022098249
"rosenbrock_10d","PRS",50448.3737980474
"rosenbrock_10d","PRS",30616.0609895148
"rosenbrock_10d","PRS",59992.2181999475
"rosenbrock_10d","PRS",44891.5668425979
"rosenbrock_10d","PRS",38149.373281303
"rosenbrock_10d","PRS",20300.7577665469
"rosenbrock_10d","PRS",12747.0776030446
"rosenbrock_10d","PRS",53373.359488123
"rosenbrock_10d","PRS",21677.3020172251
"rosenbrock_10d","PRS",10964.6869165227
"rosenbrock_10d","PRS",13178.2865933416
"rosenbrock_10d","PRS",24770.7599354517
"rosenbrock_10d","PRS",48226.2616226627
"rosenbrock_10d","PRS",28053.3268206888
"rosenbrock_10d","PRS",4116.00784145869
"rosenbrock_10d","PRS",23992.0536292212
"rosenbrock_10d","PRS",19473.0825336695
"rosenbrock_10d","PRS",27996.6848175742
"rosenbrock_10d","PRS",36055.4368016595
"rosenbrock_10d","PRS",34108.8039917616
"rosenbrock_10d","PRS",14588.0351700628
"rosenbrock_10d","PRS",65968.0396449527
"rosenbrock_10d","PRS",29091.4825099054
"rosenbrock_10d","PRS",36150.5829782778
"rosenbrock_10d","PRS",39474.3487375635
"rosenbrock_10d","PRS",17126.9621004011
"rosenbrock_10d","PRS",26717.2349057928
"rosenbrock_10d","PRS",30640.2273624948
"rosenbrock_10d","PRS",29737.4002570997
"rosenbrock_10d","PRS",22771.2465506557
"rosenbrock_20d","PRS",247102.684900401
"rosenbrock_20d","PRS",250511.41173964
"rosenbrock_20d","PRS",401925.380210477
"rosenbrock_20d","PRS",313746.758960831
"rosenbrock_20d","PRS",278159.536571359
"rosenbrock_20d","PRS",219477.823727112
"rosenbrock_20d","PRS",394991.043752111
"rosenbrock_20d","PRS",142162.12224959
"rosenbrock_20d","PRS",300465.991253209
"rosenbrock_20d","PRS",398609.021722353
"rosenbrock_20d","PRS",209336.983398802
"rosenbrock_20d","PRS",159958.02243567
"rosenbrock_20d","PRS",271654.440294142
"rosenbrock_20d","PRS",226637.480238568
"rosenbrock_20d","PRS",277547.638967985
"rosenbrock_20d","PRS",288867.976889004
"rosenbrock_20d","PRS",318109.079352844
"rosenbrock_20d","PRS",303299.500102653
"rosenbrock_20d","PRS",480614.717529874
"rosenbrock_20d","PRS",186506.762817029
"rosenbrock_20d","PRS",302152.297105845
"rosenbrock_20d","PRS",298608.8098223
"rosenbrock_20d","PRS",177984.116015047
"rosenbrock_20d","PRS",195636.671152209
"rosenbrock_20d","PRS",333940.719037947
"rosenbrock_20d","PRS",228869.403480378
"rosenbrock_20d","PRS",223218.511846869
"rosenbrock_20d","PRS",100971.215623012
"rosenbrock_20d","PRS",415986.815987828
"rosenbrock_20d","PRS",296164.172751895
"rosenbrock_20d","PRS",299121.544834932
"rosenbrock_20d","PRS",200088.90334866
"rosenbrock_20d","PRS",354718.417993555
"rosenbrock_20d","PRS",205313.659033933
"rosenbrock_20d","PRS",154864.197193337
"rosenbrock_20d","PRS",362066.630200125
"rosenbrock_20d","PRS",302578.653710121
"rosenbrock_20d","PRS",268804.888334231
"rosenbrock_20d","PRS",390340.772208026
"rosenbrock_20d","PRS",418105.219376549
"rosenbrock_20d","PRS",268159.005324324
"rosenbrock_20d","PRS",237116.243499801
"rosenbrock_20d","PRS",332417.772093843
"rosenbrock_20d","PRS",359861.911693236
"rosenbrock_20d","PRS",234515.996745284
"rosenbrock_20d","PRS",357224.088944596
"rosenbrock_20d","PRS",417109.191180055
"rosenbrock_20d","PRS",381776.884111317
"rosenbrock_20d","PRS",328724.898898326
"rosenbrock_20d","PRS",509229.905279284
"rastrigin_2d","PRS",0.747663609239062
"rastrigin_2d","PRS",2.63311572368823
"rastrigin_2d","PRS",1.03601573039979
"rastrigin_2d","PRS",0.186796800624251
"rastrigin_2d","PRS",1.00015328340544
"rastrigin_2d","PRS",2.03105591127263
"rastrigin_2d","PRS",1.84313910133146
"rastrigin_2d","PRS",3.2958907998878
"rastrigin_2d","PRS",0.301893184869787
"rastrigin_2d","PRS",1.8043638850542
"rastrigin_2d","PRS",2.1282970670155
"rastrigin_2d","PRS",0.291408423296637
"rastrigin_2d","PRS",2.74945188166711
"rastrigin_2d","PRS",0.176484687146289
"rastrigin_2d","PRS",1.11709870147888
"rastrigin_2d","PRS",0.985698969759106
"rastrigin_2d","PRS",1.03619749410399
"rastrigin_2d","PRS",1.38855465423206
"rastrigin_2d","PRS",1.07694467492037
"rastrigin_2d","PRS",1.54793040572621
"rastrigin_2d","PRS",0.857436308503566
"rastrigin_2d","PRS",1.80372415154535
"rastrigin_2d","PRS",2.30940111344345
"rastrigin_2d","PRS",3.4851983924513
"rastrigin_2d","PRS",1.97941954614271
"rastrigin_2d","PRS",2.84800059295178
"rastrigin_2d","PRS",1.1064200120718
"rastrigin_2d","PRS",1.3781065393152
"rastrigin_2d","PRS",0.612037274904171
"rastrigin_2d","PRS",1.56323325579947
"rastrigin_2d","PRS",2.03642397543906
"rastrigin_2d","PRS",0.131015142149156
"rastrigin_2d","PRS",1.01339161875347
"rastrigin_2d","PRS",1.89977875696551
"rastrigin_2d","PRS",0.71448167760564
"rastrigin_2d","PRS",1.55215456304464
"rastrigin_2d","PRS",1.15837132421206
"rastrigin_2d","PRS",1.19090028236674
"rastrigin_2d","PRS",2.2474547555687
"rastrigin_2d","PRS",1.86329252167256
"rastrigin_2d","PRS",1.1302200949727
"rastrigin_2d","PRS",0.00422664429383701
"rastrigin_2d","PRS",1.15115358486204
"rastrigin_2d","PRS",4.20229402064743
"rastrigin_2d","PRS",2.13652550112442
"rastrigin_2d","PRS",2.3807480463195
"rastrigin_2d","PRS",0.0819986628227412
"rastrigin_2d","PRS",1.0419372833837
"rastrigin_2d","PRS",2.18126626487265
"rastrigin_2d","PRS",1.2456059356845
"rastrigin_10d","PRS",91.6594485063602
"rastrigin_10d","PRS",95.7392810692899
"rastrigin_10d","PRS",88.2218919626004
"rastrigin_10d","PRS",82.3890067064296
"rastrigin_10d","PRS",85.0050485244221
"rastrigin_10d","PRS",73.8614653948689
"rastrigin_10d","PRS",81.0029408451864
"rastrigin_10d","PRS",68.9863161190581
"rastrigin_10d","PRS",90.9475810162128
"rastrigin_10d","PRS",90.5456707135762
"rastrigin_10d","PRS",96.8032366002017
"rastrigin_10d","PRS",88.3695465469026
"rastrigin_10d","PRS",69.4317217700363
"rastrigin_10d","PRS",75.6177490210508
"rastrigin_10d","PRS",79.9296697509207
"rastrigin_10d","PRS",70.294754959218
"rastrigin_10d","PRS",108.972550697643
"rastrigin_10d","PRS",92.0416541468409
"rastrigin_10d","PRS",91.8458492453668
"rastrigin_10d","PRS",87.0166863468278
"rastrigin_10d","PRS",96.716902475358
"rastrigin_10d","PRS",83.763314522895
"rastrigin_10d","PRS",82.8921558033707
"rastrigin_10d","PRS",91.2666396099507
"rastrigin_10d","PRS",96.9319076452925
"rastrigin_10d","PRS",93.952653161814
"rastrigin_10d","PRS",64.9193335895822
"rastrigin_10d","PRS",83.2635491045045
"rastrigin_10d","PRS",86.3181602542047
"rastrigin_10d","PRS",79.4537826760242
"rastrigin_10d","PRS",97.6591495311856
"rastrigin_10d","PRS",93.8838207358553
"rastrigin_10d","PRS",83.7899724553268
"rastrigin_10d","PRS",93.8243993113667
"rastrigin_10d","PRS",85.6512336427166
"rastrigin_10d","PRS",85.0993391528247
"rastrigin_10d","PRS",76.0575686681607
"rastrigin_10d","PRS",100.753751719343
"rastrigin_10d","PRS",80.864026435944
"rastrigin_10d","PRS",90.3872289761644
"rastrigin_10d","PRS",72.6613267745926
"rastrigin_10d","PRS",95.8417128874418
"rastrigin_10d","PRS",87.8271241849852
"rastrigin_10d","PRS",78.9191997860592
"rastrigin_10d","PRS",99.5520533717485
"rastrigin_10d","PRS",95.0161055197616
"rastrigin_10d","PRS",98.9882242599736
"rastrigin_10d","PRS",93.7865045933552
"rastrigin_10d","PRS",81.0191388691248
"rastrigin_10d","PRS",92.925237259021
"rastrigin_20d","PRS",228.704197709469
"rastrigin_20d","PRS",233.70432322206
"rastrigin_20d","PRS",204.675325711119
"rastrigin_20d","PRS",248.235409673491
"rastrigin_20d","PRS",229.948573349003
"rastrigin_20d","PRS",245.300027344469
"rastrigin_20d","PRS",245.766144589596
"rastrigin_20d","PRS",233.204765373064
"rastrigin_20d","PRS",240.281023546264
"rastrigin_20d","PRS",250.850711132053
"rastrigin_20d","PRS",228.147811721977
"rastrigin_20d","PRS",244.493197717157
"rastrigin_20d","PRS",220.244003440572
"rastrigin_20d","PRS",231.806170220556
"rastrigin_20d","PRS",222.266782401686
"rastrigin_20d","PRS",207.879337084136
"rastrigin_20d","PRS",235.467622380958
"rastrigin_20d","PRS",249.720361244409
"rastrigin_20d","PRS",241.586424609481
"rastrigin_20d","PRS",241.872736657503
"rastrigin_20d","PRS",193.600934380476
"rastrigin_20d","PRS",230.508257350217
"rastrigin_20d","PRS",234.683030247281
"rastrigin_20d","PRS",238.390404242932
"rastrigin_20d","PRS",220.884931794076
"rastrigin_20d","PRS",239.072418386124
"rastrigin_20d","PRS",230.01881165745
"rastrigin_20d","PRS",220.265394612693
"rastrigin_20d","PRS",225.274825671272
"rastrigin_20d","PRS",227.535566631358
"rastrigin_20d","PRS",212.103358490845
"rastrigin_20d","PRS",216.228296130261
"rastrigin_20d","PRS",222.02043652663
"rastrigin_20d","PRS",264.232192542714
"rastrigin_20d","PRS",242.160999855614
"rastrigin_20d","PRS",248.37775952877
"rastrigin_20d","PRS",217.310464102919
"rastrigin_20d","PRS",231.188412300551
"rastrigin_20d","PRS",216.157665378861
"rastrigin_20d","PRS",222.592526893328
"rastrigin_20d","PRS",220.883877361975
"rastrigin_20d","PRS",244.249945000145
"rastrigin_20d","PRS",222.223438577462
"rastrigin_20d","PRS",217.614703123257
"rastrigin_20d","PRS",220.969166383738
"rastrigin_20d","PRS",187.179392775977
"rastrigin_20d","PRS",244.461636581924
"rastrigin_20d","PRS",195.816969258504
"rastrigin_20d","PRS",226.866853543883
"rastrigin_20d","PRS",211.889926660819
"rosenbrock_2d","GA",0.00831105322092185
"rosenbrock_2d","GA",0.00465482725920736
"rosenbrock_2d","GA",0.171498381777281
"rosenbrock_2d","GA",0.0354634724243261
"rosenbrock_2d","GA",0.281532292351847
"rosenbrock_2d","GA",0.00249286838795595
"rosenbrock_2d","GA",0.0197434076258517
"rosenbrock_2d","GA",0.0013865774118971
"rosenbrock_2d","GA",0.0142034413416755
"rosenbrock_2d","GA",0.000664890263783799
"rosenbrock_2d","GA",5.90389809976734e-05
"rosenbrock_2d","GA",0.000479369768665486
"rosenbrock_2d","GA",7.6057468484648e-05
"rosenbrock_2d","GA",0.0179473039792638
"rosenbrock_2d","GA",0.0757262957501278
"rosenbrock_2d","GA",5.66738515057774e-05
"rosenbrock_2d","GA",0.00163303924325066
"rosenbrock_2d","GA",0.0844611806326716
"rosenbrock_2d","GA",0.0566895936179382
"rosenbrock_2d","GA",0.00773697501214227
"rosenbrock_2d","GA",0.00139441035606237
"rosenbrock_2d","GA",0.00105985251194468
"rosenbrock_2d","GA",0.000952385694561495
"rosenbrock_2d","GA",2.03610000120733e-05
"rosenbrock_2d","GA",0.0538578192785522
"rosenbrock_2d","GA",0.000787714275931028
"rosenbrock_2d","GA",0.0367787251592872
"rosenbrock_2d","GA",0.000111323403676331
"rosenbrock_2d","GA",0.000212846273714057
"rosenbrock_2d","GA",0.034931992811692
"rosenbrock_2d","GA",0.00201607954099743
"rosenbrock_2d","GA",0.00778989802640719
"rosenbrock_2d","GA",0.0282053490968826
"rosenbrock_2d","GA",0.0082671839463829
"rosenbrock_2d","GA",0.0210911639215426
"rosenbrock_2d","GA",0.00390155139075923
"rosenbrock_2d","GA",0.000753669791407349
"rosenbrock_2d","GA",0.0342144836586719
"rosenbrock_2d","GA",0.00138611610815348
"rosenbrock_2d","GA",0.000993807754609264
"rosenbrock_2d","GA",0.00301286108730187
"rosenbrock_2d","GA",0.00635941159432231
"rosenbrock_2d","GA",0.000303485799615108
"rosenbrock_2d","GA",0.00742407486179249
"rosenbrock_2d","GA",0.174421126513312
"rosenbrock_2d","GA",0.00477238334857892
"rosenbrock_2d","GA",0.000229873842104685
"rosenbrock_2d","GA",0.00718401849406171
"rosenbrock_2d","GA",0.00122108161269428
"rosenbrock_2d","GA",0.0018550914936892
"rosenbrock_10d","GA",78.4943582221
"rosenbrock_10d","GA",42.0665953776756
"rosenbrock_10d","GA",71.4563045695513
"rosenbrock_10d","GA",83.823267685051
"rosenbrock_10d","GA",338.784409996475
"rosenbrock_10d","GA",136.702498099642
"rosenbrock_10d","GA",62.5991900850301
"rosenbrock_10d","GA",75.1638655584578
"rosenbrock_10d","GA",356.622427818333
"rosenbrock_10d","GA",17.205422217472
"rosenbrock_10d","GA",27.5639534395344
"rosenbrock_10d","GA",112.33393360155
"rosenbrock_10d","GA",79.0899875918794
"rosenbrock_10d","GA",54.628612042057
"rosenbrock_10d","GA",218.057775776137
"rosenbrock_10d","GA",68.175282199579
"rosenbrock_10d","GA",81.4901689479934
"rosenbrock_10d","GA",67.4647993455374
"rosenbrock_10d","GA",97.0671889709205
"rosenbrock_10d","GA",245.102909412563
"rosenbrock_10d","GA",273.527050563563
"rosenbrock_10d","GA",167.053725085057
"rosenbrock_10d","GA",68.2173903837348
"rosenbrock_10d","GA",89.119506689124
"rosenbrock_10d","GA",682.389299642943
"rosenbrock_10d","GA",168.60225489357
"rosenbrock_10d","GA",12.8179390448339
"rosenbrock_10d","GA",36.2897426584674
"rosenbrock_10d","GA",72.4459501694118
"rosenbrock_10d","GA",94.5145835189709
"rosenbrock_10d","GA",5.93343089093393
"rosenbrock_10d","GA",36.6547163203045
"rosenbrock_10d","GA",11.4265314633879
"rosenbrock_10d","GA",36.9530559260038
"rosenbrock_10d","GA",25.9074938568899
"rosenbrock_10d","GA",47.648612272848
"rosenbrock_10d","GA",214.899884318112
"rosenbrock_10d","GA",46.4650511236708
"rosenbrock_10d","GA",14.2732498254393
"rosenbrock_10d","GA",118.150943291324
"rosenbrock_10d","GA",15.5320243033497
"rosenbrock_10d","GA",90.9328135081828
"rosenbrock_10d","GA",35.5063151598912
"rosenbrock_10d","GA",110.467567166536
"rosenbrock_10d","GA",8.79809658505092
"rosenbrock_10d","GA",162.933479027912
"rosenbrock_10d","GA",39.9967678149716
"rosenbrock_10d","GA",27.697743205736
"rosenbrock_10d","GA",58.8698639919957
"rosenbrock_10d","GA",49.8379047538494
"rosenbrock_20d","GA",292.7728576286
"rosenbrock_20d","GA",1529.3886180106
"rosenbrock_20d","GA",381.99969235422
"rosenbrock_20d","GA",213.409783764585
"rosenbrock_20d","GA",2219.50262137109
"rosenbrock_20d","GA",117.596839971991
"rosenbrock_20d","GA",221.928408200078
"rosenbrock_20d","GA",121.320246333564
"rosenbrock_20d","GA",249.652016263188
"rosenbrock_20d","GA",378.872085655176
"rosenbrock_20d","GA",400.33458972328
"rosenbrock_20d","GA",232.847712754523
"rosenbrock_20d","GA",211.04965392994
"rosenbrock_20d","GA",3652.99758804074
"rosenbrock_20d","GA",140.431669306364
"rosenbrock_20d","GA",211.83841952446
"rosenbrock_20d","GA",360.802077625575
"rosenbrock_20d","GA",148.500338429149
"rosenbrock_20d","GA",6613.37567694137
"rosenbrock_20d","GA",248.218569539933
"rosenbrock_20d","GA",1063.11020497684
"rosenbrock_20d","GA",226.520340075594
"rosenbrock_20d","GA",212.306098923678
"rosenbrock_20d","GA",1468.20216969222
"rosenbrock_20d","GA",336.701006867324
"rosenbrock_20d","GA",143.450075940408
"rosenbrock_20d","GA",7494.70655017664
"rosenbrock_20d","GA",176.959805855832
"rosenbrock_20d","GA",169.570785602559
"rosenbrock_20d","GA",83.0257480720052
"rosenbrock_20d","GA",240.84130480274
"rosenbrock_20d","GA",86.3379020319168
"rosenbrock_20d","GA",2836.12325479112
"rosenbrock_20d","GA",137.370502364331
"rosenbrock_20d","GA",133.723489924228
"rosenbrock_20d","GA",139.698877128816
"rosenbrock_20d","GA",172.861659498488
"rosenbrock_20d","GA",1256.05024607518
"rosenbrock_20d","GA",324.930337382454
"rosenbrock_20d","GA",174.237703684584
"rosenbrock_20d","GA",1003.14543654
"rosenbrock_20d","GA",2538.43694151386
"rosenbrock_20d","GA",1556.67343727025
"rosenbrock_20d","GA",795.922260176774
"rosenbrock_20d","GA",319.630121881221
"rosenbrock_20d","GA",1691.87312349025
"rosenbrock_20d","GA",1727.42433437445
"rosenbrock_20d","GA",182.756138773796
"rosenbrock_20d","GA",155.416920761745
"rosenbrock_20d","GA",3447.22395896418
"rastrigin_2d","GA",2.78513851803552e-05
"rastrigin_2d","GA",4.5847364930296e-05
"rastrigin_2d","GA",0.000193684377840952
"rastrigin_2d","GA",1.76186593385808e-05
"rastrigin_2d","GA",1.78608706136174e-06
"rastrigin_2d","GA",2.51515436744398e-06
"rastrigin_2d","GA",0.000158774800411265
"rastrigin_2d","GA",2.58308053702194e-06
"rastrigin_2d","GA",4.87318872295361e-05
"rastrigin_2d","GA",0.000184934151903349
"rastrigin_2d","GA",0.000161403180744202
"rastrigin_2d","GA",1.34122127590786e-05
"rastrigin_2d","GA",2.72289083866895e-05
"rastrigin_2d","GA",0.000161669246704577
"rastrigin_2d","GA",8.46075968610194e-05
"rastrigin_2d","GA",3.83988177787842e-06
"rastrigin_2d","GA",0.00548300855597716
"rastrigin_2d","GA",0.0154097144251928
"rastrigin_2d","GA",1.12111317918107e-06
"rastrigin_2d","GA",2.95449118965507e-05
"rastrigin_2d","GA",0.000288734532826851
"rastrigin_2d","GA",0.0197036954955365
"rastrigin_2d","GA",1.96173405271338e-05
"rastrigin_2d","GA",0.000360764239367484
"rastrigin_2d","GA",9.84802861836442e-06
"rastrigin_2d","GA",0.00192499958011894
"rastrigin_2d","GA",0.00100893796442136
"rastrigin_2d","GA",0.00037885459472875
"rastrigin_2d","GA",0.0457513322558079
"rastrigin_2d","GA",6.36947618204431e-07
"rastrigin_2d","GA",6.62817325292053e-05
"rastrigin_2d","GA",0.00141379142896625
"rastrigin_2d","GA",7.21339006304333e-08
"rastrigin_2d","GA",9.87125037710257e-07
"rastrigin_2d","GA",0.15033364485749
"rastrigin_2d","GA",7.38882552582254e-05
"rastrigin_2d","GA",2.99408947270763e-05
"rastrigin_2d","GA",1.37279662837386e-06
"rastrigin_2d","GA",5.43683364142566e-05
"rastrigin_2d","GA",0.0522308456737832
"rastrigin_2d","GA",0.000137199849305603
"rastrigin_2d","GA",8.79699942260004e-05
"rastrigin_2d","GA",0.000149037677008579
"rastrigin_2d","GA",8.18191927294265e-05
"rastrigin_2d","GA",3.82971449255365e-05
"rastrigin_2d","GA",0.00033059195370555
"rastrigin_2d","GA",8.51378594290964e-07
"rastrigin_2d","GA",5.6566932471469e-08
"rastrigin_2d","GA",0.000470217185508659
"rastrigin_2d","GA",0.00010371791661612
"rastrigin_10d","GA",5.62996696932815
"rastrigin_10d","GA",2.78040524027053
"rastrigin_10d","GA",3.85857437689899
"rastrigin_10d","GA",6.14182822425991
"rastrigin_10d","GA",1.82877247608909
"rastrigin_10d","GA",3.6635465085328
"rastrigin_10d","GA",5.3791730713149
"rastrigin_10d","GA",5.40858486687944
"rastrigin_10d","GA",17.432538300512
"rastrigin_10d","GA",3.80160621061711
"rastrigin_10d","GA",6.89774954375225
"rastrigin_10d","GA",42.2986843309512
"rastrigin_10d","GA",4.6718707482147
"rastrigin_10d","GA",2.24261214613642
"rastrigin_10d","GA",5.7981716469626
"rastrigin_10d","GA",5.99880347198184
"rastrigin_10d","GA",4.25950673485647
"rastrigin_10d","GA",2.64901966541144
"rastrigin_10d","GA",11.3185145475773
"rastrigin_10d","GA",4.31164781057996
"rastrigin_10d","GA",0.0978546669824141
"rastrigin_10d","GA",7.7812335272869
"rastrigin_10d","GA",1.77208464679943
"rastrigin_10d","GA",3.67937570707164
"rastrigin_10d","GA",0.400479468535394
"rastrigin_10d","GA",2.85092717996336
"rastrigin_10d","GA",4.02441380418858
"rastrigin_10d","GA",9.07229557767451
"rastrigin_10d","GA",2.11348353638465
"rastrigin_10d","GA",5.48527212667375
"rastrigin_10d","GA",5.82466841781286
"rastrigin_10d","GA",6.08244116905402
"rastrigin_10d","GA",3.28318277612365
"rastrigin_10d","GA",0.0372860299272872
"rastrigin_10d","GA",1.41335617852802
"rastrigin_10d","GA",0.0887124535817492
"rastrigin_10d","GA",4.62663012193694
"rastrigin_10d","GA",4.1076429843944
"rastrigin_10d","GA",1.57076881267947
"rastrigin_10d","GA",7.25569474681683
"rastrigin_10d","GA",1.54980786450822
"rastrigin_10d","GA",4.97415090332461
"rastrigin_10d","GA",6.27384440412891
"rastrigin_10d","GA",4.020096672816
"rastrigin_10d","GA",7.96090122656882
"rastrigin_10d","GA",4.8139668054655
"rastrigin_10d","GA",5.29939416252746
"rastrigin_10d","GA",4.47574901281538
"rastrigin_10d","GA",4.23938972106541
"rastrigin_10d","GA",4.05908890831496
"rastrigin_20d","GA",8.22938053781886
"rastrigin_20d","GA",25.9002866262662
"rastrigin_20d","GA",11.1590015472243
"rastrigin_20d","GA",9.36837571103814
"rastrigin_20d","GA",13.7155889789275
"rastrigin_20d","GA",13.6571821689283
"rastrigin_20d","GA",5.9514832821597
"rastrigin_20d","GA",7.6433454340827
"rastrigin_20d","GA",9.5299096217561
"rastrigin_20d","GA",26.0660118538087
"rastrigin_20d","GA",14.8676044294937
"rastrigin_20d","GA",20.0576177438069
"rastrigin_20d","GA",17.4134465361526
"rastrigin_20d","GA",24.629512203149
